CATEGORY,DATE,UNITS_SOLD
CATEG-1,2020-11-10,172
CATEG-2,2021-05-26,53
CATEG-3,2019-11-03,432
CATEG-1,2020-02-03,28
CATEG-2,2020-11-03,12
CATEG-1,2020-12-25,80
CATEG-3,2020-11-29,2167
CATEG-1,2020-06-25,58
CATEG-2,2020-05-27,144
CATEG-1,2020-12-09,185
CATEG-1,2020-02-15,22
CATEG-2,2020-01-21,3
CATEG-3,2021-03-28,1599
CATEG-2,2019-11-05,1
CATEG-2,2021-07-10,33
CATEG-3,2019-10-31,476
CATEG-2,2020-10-12,12
CATEG-2,2020-09-08,19
CATEG-3,2020-06-29,1294
CATEG-2,2020-04-27,300
CATEG-1,2020-12-14,197
CATEG-2,2019-06-29,11
CATEG-2,2019-09-21,3
CATEG-1,2021-08-20,49
CATEG-3,2019-09-25,603
CATEG-1,2020-08-02,49
CATEG-1,2021-07-21,70
CATEG-2,2019-07-24,13
CATEG-3,2021-04-15,1985
CATEG-1,2019-11-20,50
CATEG-1,2020-01-09,40
CATEG-3,2020-08-28,1388
CATEG-3,2020-03-11,839
CATEG-1,2019-09-03,29
CATEG-1,2021-02-10,102
CATEG-3,2020-10-10,1093
CATEG-1,2021-02-04,89
CATEG-2,2020-02-02,3
CATEG-3,2020-02-14,577
CATEG-3,2019-10-25,455
CATEG-2,2019-11-10,1
CATEG-3,2020-06-23,1140
CATEG-3,2020-06-22,1213
CATEG-3,2019-09-22,464
CATEG-2,2021-02-10,24
CATEG-1,2019-11-30,58
CATEG-2,2020-08-24,33
CATEG-3,2020-11-14,3422
CATEG-3,2020-04-04,543
CATEG-1,2021-05-07,42
CATEG-2,2019-07-28,8
CATEG-1,2019-12-18,89
CATEG-3,2020-02-16,572
CATEG-2,2020-01-15,4
CATEG-2,2021-08-14,34
CATEG-2,2020-11-15,20
CATEG-3,2021-01-19,2580
CATEG-1,2021-01-22,83
CATEG-2,2020-01-13,3
CATEG-1,2021-08-16,59
CATEG-3,2020-01-27,811
CATEG-1,2020-02-11,27
CATEG-2,2020-06-03,110
CATEG-3,2020-07-16,1592
CATEG-3,2018-10-25,0
CATEG-3,2021-09-23,1948
CATEG-1,2020-10-22,41
CATEG-2,2021-05-03,81
CATEG-3,2018-10-14,1
CATEG-1,2021-06-21,67
CATEG-3,2021-05-28,2950
CATEG-2,2020-07-14,117
CATEG-2,2020-12-31,19
CATEG-3,2021-07-18,2121
CATEG-1,2021-07-12,59
CATEG-1,2020-08-15,41
CATEG-2,2020-12-13,14
CATEG-2,2020-11-08,9
CATEG-2,2020-05-13,132
CATEG-1,2020-10-02,44
CATEG-3,2021-01-20,2442
CATEG-1,2020-11-22,53
CATEG-1,2020-09-25,42
CATEG-2,2020-10-04,6
CATEG-2,2021-01-08,12
CATEG-2,2019-07-09,28
CATEG-2,2021-08-09,39
CATEG-1,2021-10-14,46
CATEG-1,2020-07-14,89
CATEG-2,2020-05-22,113
CATEG-1,2020-01-04,35
CATEG-2,2019-06-24,24
CATEG-1,2020-07-16,72
CATEG-1,2020-06-29,80
CATEG-2,2021-10-15,17
CATEG-1,2019-09-20,22
CATEG-2,2021-07-29,43
CATEG-2,2019-10-23,2
CATEG-1,2020-12-20,124
CATEG-2,2020-11-27,10
CATEG-3,2019-07-12,522
CATEG-2,2021-04-11,105
CATEG-2,2021-01-21,13
CATEG-1,2019-10-10,14
CATEG-3,2021-01-25,2201
CATEG-2,2020-08-28,19
CATEG-3,2019-12-26,898
CATEG-3,2021-11-01,1979
CATEG-1,2020-04-12,51
CATEG-2,2021-02-19,25
CATEG-2,2020-11-02,12
CATEG-1,2019-11-19,69
CATEG-1,2019-12-11,106
CATEG-3,2019-09-05,567
CATEG-1,2019-10-30,21
CATEG-1,2019-11-16,150
CATEG-1,2021-07-13,63
CATEG-3,2020-02-11,888
CATEG-1,2019-06-25,28
CATEG-1,2020-12-30,112
CATEG-2,2020-12-08,22
CATEG-3,2021-01-29,2068
CATEG-3,2021-01-30,1950
CATEG-3,2018-09-25,0
CATEG-2,2021-08-19,31
CATEG-3,2020-01-31,648
CATEG-3,2021-06-11,1990
CATEG-3,2021-01-26,2103
CATEG-1,2019-07-22,27
CATEG-3,2020-09-05,1402
CATEG-2,2020-09-13,13
CATEG-1,2021-06-11,40
CATEG-2,2019-12-22,4
CATEG-2,2021-04-19,85
CATEG-3,2020-01-24,586
CATEG-2,2020-01-28,4
CATEG-1,2021-06-25,38
CATEG-1,2019-07-24,23
CATEG-1,2019-12-25,45
CATEG-1,2020-01-17,35
CATEG-2,2020-07-28,47
CATEG-2,2019-11-04,4
CATEG-3,2021-11-10,7551
CATEG-3,2021-06-08,1983
CATEG-3,2019-08-12,687
CATEG-2,2019-11-08,2
CATEG-3,2019-12-17,1569
CATEG-1,2020-02-19,40
CATEG-3,2020-11-17,3736
CATEG-3,2020-07-21,1454
CATEG-2,2021-09-14,19
CATEG-2,2019-07-08,27
CATEG-3,2021-07-22,1815
CATEG-3,2020-06-19,1314
CATEG-3,2020-03-14,635
CATEG-1,2020-12-28,99
CATEG-2,2019-12-01,5
CATEG-3,2021-08-12,1982
CATEG-3,2019-10-29,621
CATEG-3,2018-10-13,1
CATEG-2,2020-06-09,129
CATEG-3,2019-10-19,382
CATEG-2,2021-09-13,18
CATEG-1,2020-05-11,66
CATEG-2,2020-01-18,3
CATEG-3,2021-08-28,1923
CATEG-3,2019-11-26,754
CATEG-3,2020-02-10,878
CATEG-1,2020-10-07,36
CATEG-2,2021-02-18,30
CATEG-1,2020-09-20,44
CATEG-2,2020-05-08,144
CATEG-3,2018-10-04,0
CATEG-2,2021-05-18,46
CATEG-3,2021-06-24,1898
CATEG-3,2020-10-09,1264
CATEG-2,2019-08-04,12
CATEG-2,2021-08-24,22
CATEG-1,2020-10-09,48
CATEG-1,2020-09-05,44
CATEG-2,2021-09-07,22
CATEG-3,2019-08-06,701
CATEG-1,2021-06-09,42
CATEG-3,2019-10-08,548
CATEG-1,2019-08-20,32
CATEG-1,2020-12-15,196
CATEG-1,2019-11-06,27
CATEG-3,2020-02-01,551
CATEG-3,2019-09-09,667
CATEG-3,2021-11-09,2894
CATEG-2,2019-10-02,3
CATEG-1,2020-03-02,28
CATEG-3,2020-08-05,1378
CATEG-3,2020-05-12,1618
CATEG-2,2020-09-06,15
CATEG-1,2019-08-24,18
CATEG-2,2020-09-16,12
CATEG-1,2021-07-25,37
CATEG-3,2019-12-12,1027
CATEG-3,2020-05-24,2252
CATEG-2,2020-01-14,5
CATEG-1,2020-04-20,66
CATEG-3,2019-11-24,545
CATEG-3,2020-06-27,1028
CATEG-1,2021-05-28,96
CATEG-2,2019-07-22,17
CATEG-1,2020-02-08,19
CATEG-2,2020-11-12,12
CATEG-1,2020-10-10,43
CATEG-1,2019-06-14,18
CATEG-3,2018-10-03,2
CATEG-3,2020-09-10,1537
CATEG-3,2020-03-16,625
CATEG-1,2019-10-17,19
CATEG-2,2019-11-25,9
CATEG-1,2020-12-22,115
CATEG-2,2020-06-12,69
CATEG-1,2019-12-29,52
CATEG-2,2019-12-09,6
CATEG-1,2021-08-01,37
CATEG-1,2019-08-25,20
CATEG-1,2020-03-03,29
CATEG-1,2020-08-01,54
CATEG-2,2020-12-18,35
CATEG-1,2020-06-20,51
CATEG-3,2019-10-26,384
CATEG-3,2019-08-30,525
CATEG-2,2021-06-30,24
CATEG-1,2019-08-17,18
CATEG-2,2021-06-13,54
CATEG-1,2020-04-30,71
CATEG-3,2019-06-24,601
CATEG-1,2021-06-03,35
CATEG-2,2020-11-28,11
CATEG-1,2021-03-06,68
CATEG-3,2019-07-26,473
CATEG-3,2021-09-15,2014
CATEG-3,2019-07-05,498
CATEG-3,2021-10-24,1842
CATEG-3,2021-02-10,2101
CATEG-1,2019-07-18,30
CATEG-3,2021-10-31,1577
CATEG-3,2020-05-25,2425
CATEG-2,2021-02-23,39
CATEG-3,2021-02-24,1965
CATEG-2,2020-03-21,51
CATEG-3,2020-12-08,2874
CATEG-3,2019-12-28,693
CATEG-2,2020-10-10,8
CATEG-1,2021-02-09,110
CATEG-1,2021-02-14,71
CATEG-2,2021-03-16,144
CATEG-3,2019-07-13,475
CATEG-1,2021-06-12,37
CATEG-2,2019-12-14,5
CATEG-3,2020-05-28,2349
CATEG-3,2021-07-28,1826
CATEG-3,2021-02-26,1858
CATEG-3,2019-09-27,509
CATEG-3,2021-06-17,2474
CATEG-1,2020-12-23,111
CATEG-3,2021-09-13,2748
CATEG-3,2019-11-04,643
CATEG-1,2019-09-12,19
CATEG-2,2020-01-31,3
CATEG-3,2020-10-11,1183
CATEG-2,2020-05-24,181
CATEG-2,2020-05-25,178
CATEG-1,2020-07-23,72
CATEG-3,2019-12-11,1186
CATEG-1,2020-01-30,33
CATEG-2,2021-10-04,15
CATEG-3,2020-04-17,861
CATEG-1,2021-02-22,89
CATEG-1,2019-12-19,82
CATEG-2,2021-11-10,18
CATEG-3,2020-08-13,1499
CATEG-3,2020-10-24,1253
CATEG-1,2020-08-26,54
CATEG-1,2020-09-11,47
CATEG-1,2020-08-27,43
CATEG-3,2021-08-07,1797
CATEG-1,2019-07-13,17
CATEG-1,2021-08-06,46
CATEG-2,2020-03-05,7
CATEG-2,2021-06-18,46
CATEG-1,2020-03-24,31
CATEG-2,2021-06-14,63
CATEG-3,2019-06-29,419
CATEG-2,2019-11-17,4
CATEG-1,2019-07-25,21
CATEG-1,2021-02-03,93
CATEG-3,2020-09-26,1116
CATEG-2,2021-07-24,44
CATEG-1,2021-08-04,46
CATEG-3,2021-09-24,1702
CATEG-2,2021-07-22,46
CATEG-3,2019-10-01,612
CATEG-2,2021-10-19,21
CATEG-3,2019-09-15,357
CATEG-1,2020-08-17,65
CATEG-3,2020-02-18,793
CATEG-3,2019-12-27,824
CATEG-3,2019-10-05,396
CATEG-1,2021-02-06,95
CATEG-3,2020-05-20,1924
CATEG-3,2021-03-27,1670
CATEG-3,2019-11-21,661
CATEG-3,2019-08-10,419
CATEG-3,2020-09-19,1189
CATEG-3,2021-01-05,2495
CATEG-3,2019-08-09,599
CATEG-1,2020-08-09,51
CATEG-2,2020-05-11,116
CATEG-2,2021-01-01,21
CATEG-3,2020-11-04,2042
CATEG-1,2020-07-15,88
CATEG-1,2020-07-19,54
CATEG-1,2021-08-14,50
CATEG-2,2020-01-03,6
CATEG-3,2020-10-26,1869
CATEG-1,2021-05-09,36
CATEG-2,2021-09-01,25
CATEG-3,2020-06-21,1056
CATEG-1,2020-07-04,63
CATEG-1,2021-07-24,36
CATEG-3,2019-10-23,614
CATEG-3,2020-03-07,595
CATEG-2,2020-07-25,42
CATEG-1,2021-01-20,101
CATEG-2,2020-01-01,7
CATEG-3,2020-03-25,504
CATEG-1,2019-11-15,137
CATEG-2,2020-05-19,153
CATEG-2,2019-12-19,7
CATEG-3,2021-08-20,1995
CATEG-2,2021-04-04,103
CATEG-3,2020-08-29,1386
CATEG-2,2020-06-19,79
CATEG-2,2021-11-04,14
CATEG-3,2020-06-03,1422
CATEG-2,2021-01-22,13
CATEG-1,2021-04-12,52
CATEG-2,2021-05-07,48
CATEG-2,2020-02-11,4
CATEG-3,2020-01-08,761
CATEG-2,2020-10-19,12
CATEG-3,2021-03-15,2163
CATEG-1,2020-04-07,39
CATEG-1,2020-01-01,23
CATEG-1,2020-12-12,185
CATEG-3,2019-09-06,496
CATEG-3,2020-03-27,536
CATEG-1,2019-10-13,16
CATEG-2,2020-02-14,4
CATEG-2,2021-07-19,57
CATEG-2,2019-06-11,15
CATEG-3,2020-11-07,1513
CATEG-2,2020-10-08,13
CATEG-2,2021-11-12,12
CATEG-1,2020-11-05,53
CATEG-1,2021-10-03,38
CATEG-1,2019-07-02,32
CATEG-1,2019-06-21,20
CATEG-1,2019-10-21,25
CATEG-1,2021-02-05,101
CATEG-1,2019-10-08,26
CATEG-2,2020-05-21,109
CATEG-1,2020-05-04,70
CATEG-1,2021-05-23,101
CATEG-1,2020-04-13,56
CATEG-3,2020-09-21,1579
CATEG-1,2019-06-16,11
CATEG-3,2019-12-05,884
CATEG-2,2021-10-25,23
CATEG-2,2021-07-08,84
CATEG-2,2021-11-03,17
CATEG-1,2021-09-26,29
CATEG-2,2019-08-05,17
CATEG-1,2019-09-15,14
CATEG-3,2021-04-18,1711
CATEG-1,2020-11-30,131
CATEG-1,2019-11-29,92
CATEG-3,2019-09-20,511
CATEG-1,2020-10-29,33
CATEG-1,2021-01-28,71
CATEG-2,2021-07-31,31
CATEG-2,2021-09-03,21
CATEG-1,2020-01-18,38
CATEG-3,2019-08-13,667
CATEG-2,2019-08-22,8
CATEG-2,2020-08-04,66
CATEG-1,2020-09-24,42
CATEG-3,2020-12-10,3068
CATEG-1,2020-02-10,34
CATEG-2,2019-06-17,15
CATEG-1,2020-09-15,54
CATEG-1,2021-10-18,39
CATEG-2,2020-06-04,160
CATEG-3,2021-11-02,2022
CATEG-2,2019-10-22,4
CATEG-2,2020-03-01,10
CATEG-3,2021-02-16,2022
CATEG-2,2020-12-06,15
CATEG-2,2021-02-26,49
CATEG-2,2020-12-21,29
CATEG-2,2019-10-11,1
CATEG-2,2021-05-28,57
CATEG-3,2021-04-25,1651
CATEG-3,2021-07-01,3701
CATEG-1,2021-01-16,86
CATEG-2,2019-09-09,3
CATEG-2,2021-07-05,41
CATEG-2,2020-12-17,33
CATEG-3,2020-04-10,634
CATEG-2,2021-08-20,28
CATEG-2,2021-04-18,86
CATEG-2,2020-04-04,162
CATEG-1,2020-04-19,52
CATEG-1,2021-08-22,38
CATEG-3,2020-12-05,2179
CATEG-2,2020-07-16,91
CATEG-1,2020-02-22,16
CATEG-2,2020-08-13,45
CATEG-1,2021-07-04,45
CATEG-1,2021-07-02,43
CATEG-2,2020-01-30,4
CATEG-2,2021-03-22,132
CATEG-1,2021-07-28,55
CATEG-2,2020-03-31,168
CATEG-1,2021-09-21,44
CATEG-3,2020-11-23,1830
CATEG-3,2019-09-07,418
CATEG-2,2019-11-12,3
CATEG-2,2020-08-05,47
CATEG-2,2020-11-26,9
CATEG-3,2021-03-19,1806
CATEG-2,2020-06-30,83
CATEG-1,2019-10-12,11
CATEG-1,2019-08-10,18
CATEG-1,2020-01-21,40
CATEG-2,2021-01-11,9
CATEG-2,2020-06-15,100
CATEG-3,2020-09-09,1607
CATEG-1,2020-04-25,45
CATEG-1,2020-10-01,51
CATEG-1,2020-03-07,22
CATEG-3,2021-05-29,2495
CATEG-1,2019-09-19,26
CATEG-2,2021-06-03,41
CATEG-3,2021-06-12,1856
CATEG-3,2020-11-22,1661
CATEG-3,2019-11-18,2031
CATEG-2,2019-12-05,4
CATEG-1,2020-09-30,53
CATEG-3,2021-03-21,1742
CATEG-2,2020-10-31,5
CATEG-2,2020-08-18,34
CATEG-3,2021-08-05,2236
CATEG-2,2021-07-23,35
CATEG-1,2020-01-08,46
CATEG-2,2019-12-28,5
CATEG-3,2020-04-23,989
CATEG-3,2020-11-01,1514
CATEG-2,2020-12-14,24
CATEG-1,2021-05-26,95
CATEG-2,2020-10-14,13
CATEG-2,2020-01-16,4
CATEG-2,2020-10-28,9
CATEG-3,2021-11-11,6294
CATEG-2,2019-08-09,10
CATEG-2,2021-03-23,157
CATEG-1,2019-06-15,15
CATEG-1,2020-09-18,44
CATEG-1,2019-12-07,68
CATEG-1,2020-03-16,34
CATEG-1,2020-06-01,135
CATEG-2,2020-06-27,79
CATEG-3,2021-08-19,2007
CATEG-2,2020-04-10,193
CATEG-2,2019-10-17,3
CATEG-3,2021-06-18,2051
CATEG-3,2019-10-03,522
CATEG-3,2021-04-13,1838
CATEG-1,2021-08-11,48
CATEG-1,2021-03-08,72
CATEG-1,2021-10-06,48
CATEG-1,2020-09-28,58
CATEG-2,2020-04-30,248
CATEG-2,2021-05-25,58
CATEG-1,2021-03-15,63
CATEG-2,2020-04-25,286
CATEG-1,2021-09-07,51
CATEG-1,2019-08-21,24
CATEG-2,2021-02-25,34
CATEG-2,2021-09-09,15
CATEG-3,2020-11-25,1694
CATEG-2,2020-04-21,317
CATEG-1,2020-11-16,121
CATEG-3,2021-06-13,1934
CATEG-1,2020-04-27,72
CATEG-1,2021-08-21,39
CATEG-2,2020-05-29,150
CATEG-1,2020-06-18,61
CATEG-1,2019-07-14,22
CATEG-3,2021-10-01,1968
CATEG-3,2020-08-22,1211
CATEG-3,2020-09-30,1530
CATEG-3,2020-06-14,1451
CATEG-2,2019-10-31,1
CATEG-2,2021-10-18,20
CATEG-1,2020-04-06,47
CATEG-3,2020-04-15,977
CATEG-1,2021-08-23,53
CATEG-1,2020-10-08,39
CATEG-3,2021-03-14,1750
CATEG-3,2021-07-05,2481
CATEG-3,2021-03-02,2042
CATEG-1,2020-10-12,55
CATEG-3,2020-09-07,1829
CATEG-2,2020-08-16,29
CATEG-2,2021-09-16,20
CATEG-2,2021-08-15,41
CATEG-3,2019-11-20,789
CATEG-1,2021-04-20,57
CATEG-2,2021-11-11,20
CATEG-2,2021-08-26,26
CATEG-1,2021-10-07,43
CATEG-1,2020-01-19,27
CATEG-2,2021-05-22,34
CATEG-1,2019-12-09,91
CATEG-3,2020-07-09,1201
CATEG-3,2021-10-19,2398
CATEG-3,2021-10-29,1872
CATEG-2,2021-08-12,42
CATEG-2,2021-02-03,24
CATEG-2,2020-05-26,153
CATEG-1,2021-02-19,78
CATEG-1,2020-03-25,29
CATEG-2,2021-04-12,127
CATEG-2,2021-09-26,13
CATEG-1,2020-08-18,56
CATEG-1,2021-04-06,74
CATEG-1,2021-08-08,44
CATEG-2,2021-04-23,82
CATEG-3,2020-03-04,775
CATEG-1,2020-08-07,44
CATEG-1,2019-11-18,202
CATEG-1,2020-03-30,29
CATEG-2,2021-08-13,41
CATEG-2,2020-05-15,112
CATEG-2,2021-01-02,36
CATEG-3,2021-08-17,2351
CATEG-2,2021-03-11,84
CATEG-2,2019-09-18,3
CATEG-3,2020-06-02,1617
CATEG-3,2021-06-20,1615
CATEG-1,2020-11-21,84
CATEG-1,2019-11-24,23
CATEG-1,2020-08-25,57
CATEG-1,2020-03-08,22
CATEG-3,2020-01-16,824
CATEG-2,2021-02-02,19
CATEG-1,2019-09-06,22
CATEG-2,2019-08-31,3
CATEG-2,2019-07-12,23
CATEG-2,2020-09-12,15
CATEG-1,2019-09-18,25
CATEG-3,2021-09-05,1993
CATEG-3,2020-01-19,579
CATEG-1,2020-06-17,69
CATEG-2,2021-01-16,17
CATEG-3,2020-05-06,1860
CATEG-1,2019-10-06,11
CATEG-1,2019-09-13,18
CATEG-1,2021-05-12,33
CATEG-2,2019-11-22,4
CATEG-2,2021-01-28,19
CATEG-3,2019-08-05,690
CATEG-2,2021-05-01,65
CATEG-3,2020-09-22,1394
CATEG-2,2020-03-23,74
CATEG-3,2021-04-03,1592
CATEG-3,2020-05-11,1638
CATEG-2,2020-02-21,2
CATEG-1,2020-01-16,43
CATEG-1,2021-11-06,54
CATEG-2,2019-09-17,5
CATEG-1,2019-08-02,18
CATEG-1,2020-09-29,49
CATEG-3,2020-12-28,3129
CATEG-3,2019-10-09,554
CATEG-1,2021-11-10,189
CATEG-3,2021-06-29,1938
CATEG-1,2020-07-13,91
CATEG-3,2020-10-22,1955
CATEG-3,2021-06-04,1745
CATEG-1,2021-08-07,43
CATEG-2,2021-10-12,18
CATEG-3,2021-05-11,2011
CATEG-3,2019-07-22,664
CATEG-3,2020-04-03,601
CATEG-1,2020-12-18,130
CATEG-1,2019-12-24,65
CATEG-3,2018-09-29,1
CATEG-1,2020-01-29,26
CATEG-2,2020-08-27,16
CATEG-3,2020-05-04,1822
CATEG-2,2020-04-05,174
CATEG-3,2020-05-13,1624
CATEG-1,2019-12-05,64
CATEG-1,2021-08-31,47
CATEG-2,2019-06-23,13
CATEG-3,2019-07-09,682
CATEG-2,2020-09-11,10
CATEG-3,2019-06-20,511
CATEG-3,2021-08-11,2097
CATEG-3,2021-04-22,1939
CATEG-1,2020-01-25,25
CATEG-1,2021-09-29,42
CATEG-2,2019-08-07,14
CATEG-2,2021-01-20,12
CATEG-2,2021-02-14,16
CATEG-2,2021-07-11,39
CATEG-1,2021-01-14,50
CATEG-2,2020-03-10,15
CATEG-3,2020-06-13,1516
CATEG-3,2021-04-20,1948
CATEG-1,2021-02-02,105
CATEG-1,2021-01-01,50
CATEG-1,2019-08-04,13
CATEG-3,2021-08-31,2043
CATEG-2,2021-03-04,85
CATEG-2,2020-07-11,89
CATEG-3,2019-08-29,618
CATEG-3,2021-03-17,1929
CATEG-3,2021-02-04,2025
CATEG-3,2019-12-21,848
CATEG-3,2021-07-19,2310
CATEG-1,2020-09-02,58
CATEG-2,2020-06-29,74
CATEG-1,2021-08-25,49
CATEG-3,2019-10-18,468
CATEG-3,2021-07-07,2232
CATEG-1,2021-03-12,65
CATEG-1,2021-05-03,51
CATEG-2,2021-01-23,15
CATEG-3,2020-01-21,821
CATEG-2,2021-09-29,19
CATEG-2,2021-06-11,51
CATEG-2,2019-11-14,3
CATEG-1,2020-01-15,43
CATEG-3,2021-04-26,2000
CATEG-3,2019-12-18,1383
CATEG-3,2020-03-03,832
CATEG-1,2021-03-29,64
CATEG-1,2021-05-01,50
CATEG-1,2020-01-02,57
CATEG-2,2020-08-09,33
CATEG-1,2020-09-16,50
CATEG-3,2019-08-28,600
CATEG-3,2020-06-12,1534
CATEG-1,2019-11-01,18
CATEG-3,2019-07-16,984
CATEG-1,2020-03-06,23
CATEG-3,2021-01-21,2251
CATEG-3,2020-08-30,1372
CATEG-1,2020-11-28,96
CATEG-1,2021-02-18,78
CATEG-2,2020-12-05,8
CATEG-2,2020-02-05,3
CATEG-2,2020-06-05,106
CATEG-1,2021-09-03,38
